time,I_bus_1,I_bus_2,I_bus_3
0.0202,0.54883,-0.76906,-0.0013206
0.0203,0.54828,-0.76831,-0.001307
0.0204,0.54774,-0.76757,-0.0012929
0.0205,0.54719,-0.76682,-0.0012781
0.0206,0.54665,-0.76608,-0.0012628
0.0207,0.5461,-0.76534,-0.001247
0.0208,0.54556,-0.76459,-0.0012308
0.0209,0.54502,-0.76385,-0.0012141
0.021,0.54447,-0.76311,-0.0011971
0.0211,0.54393,-0.76236,-0.0011798
0.0212,0.54339,-0.76162,-0.0011623
0.0213,0.54285,-0.76088,-0.0011445
0.0214,0.54231,-0.76014,-0.0011265
0.0215,0.54177,-0.7594,-0.0011083
0.0216,0.54124,-0.75866,-0.0010901
0.0217,0.5407,-0.75792,-0.0010717
0.0218,0.54016,-0.75718,-0.0010533
0.0219,0.53963,-0.75644,-0.0010348
0.022,0.53909,-0.75571,-0.0010163
0.0221,0.53855,-0.75497,-0.00099781
0.0222,0.53802,-0.75423,-0.00097934
0.0223,0.53749,-0.7535,-0.0009609
0.0224,0.53695,-0.75277,-0.00094251
0.0225,0.53642,-0.75203,-0.00092418
0.0226,0.53588,-0.7513,-0.00090591
0.0227,0.53535,-0.75057,-0.00088772
0.0228,0.53482,-0.74984,-0.00086961
0.0229,0.53429,-0.74911,-0.00085158
0.023,0.53376,-0.74838,-0.00083364
0.0231,0.53323,-0.74765,-0.0008158
0.0232,0.5327,-0.74692,-0.00079805
0.0233,0.53217,-0.74619,-0.00078039
0.0234,0.53164,-0.74547,-0.00076282
0.0235,0.53111,-0.74474,-0.00074535
0.0236,0.53058,-0.74402,-0.00072796
0.0237,0.53006,-0.74329,-0.00071067
0.0238,0.52953,-0.74257,-0.00069346
0.0239,0.529,-0.74184,-0.00067634
0.024,0.52848,-0.74112,-0.0006593
0.0241,0.52795,-0.7404,-0.00064234
0.0242,0.52743,-0.73968,-0.00062546
0.0243,0.5269,-0.73896,-0.00060866
0.0244,0.52638,-0.73824,-0.00059192
0.0245,0.52585,-0.73752,-0.00057526
0.0246,0.52533,-0.73681,-0.00055866
0.0247,0.52481,-0.73609,-0.00054213
0.0248,0.52429,-0.73537,-0.00052566
0.0249,0.52377,-0.73466,-0.00050925
0.025,0.52324,-0.73394,-0.0004929
0.0251,0.52272,-0.73323,-0.0004766
0.0252,0.5222,-0.73251,-0.00046036
0.0253,0.52168,-0.7318,-0.00044417
0.0254,0.52117,-0.73109,-0.00042804
0.0255,0.52065,-0.73038,-0.00041195
0.0256,0.52013,-0.72966,-0.00039592
0.0257,0.51961,-0.72895,-0.00037993
0.0258,0.5191,-0.72825,-0.00036399
0.0259,0.51858,-0.72754,-0.00034809
0.026,0.51806,-0.72683,-0.00033224
0.0261,0.51755,-0.72612,-0.00031643
0.0262,0.51703,-0.72541,-0.00030067
0.0263,0.51652,-0.72471,-0.00028496
0.0264,0.51601,-0.724,-0.00026929
0.0265,0.51549,-0.7233,-0.00025366
0.0266,0.51498,-0.72259,-0.00023807
0.0267,0.51447,-0.72189,-0.00022253
0.0268,0.51396,-0.72119,-0.00020703
0.0269,0.51345,-0.72048,-0.00019157
0.027,0.51294,-0.71978,-0.00017615
0.0271,0.51243,-0.71908,-0.00016078
0.0272,0.51192,-0.71838,-0.00014545
0.0273,0.51141,-0.71768,-0.00013016
0.0274,0.5109,-0.71698,-0.00011492
0.0275,0.51039,-0.71629,-9.9719e-05
0.0276,0.50988,-0.71559,-8.456e-05
0.0277,0.50938,-0.71489,-6.9444e-05
0.0278,0.50887,-0.71419,-5.4371e-05
0.0279,0.50836,-0.7135,-3.9341e-05
0.028,0.50786,-0.7128,-2.4353e-05
0.0281,0.50735,-0.71211,-9.409e-06
0.0282,0.50685,-0.71142,5.4924e-06
0.0283,0.50635,-0.71072,2.0351e-05
0.0284,0.50584,-0.71003,3.5166e-05
0.0285,0.50534,-0.70934,4.9938e-05
0.0286,0.50484,-0.70865,6.4668e-05
0.0287,0.50434,-0.70796,7.9354e-05
0.0288,0.50383,-0.70727,9.3997e-05
0.0289,0.50333,-0.70658,0.0001086
0.029,0.50283,-0.70589,0.00012316
0.0291,0.50233,-0.70521,0.00013767
0.0292,0.50183,-0.70452,0.00015214
0.0293,0.50134,-0.70383,0.00016657
0.0294,0.50084,-0.70315,0.00018096
0.0295,0.50034,-0.70246,0.0001953
0.0296,0.49984,-0.70178,0.0002096
0.0297,0.49934,-0.70109,0.00022386
0.0298,0.49885,-0.70041,0.00023808
0.0299,0.49835,-0.69973,0.00025225
0.03,0.49786,-0.69905,0.00026638
0.0301,0.49736,-0.69837,0.00028047
0.0302,0.49687,-0.69769,0.00029452
0.0303,0.49637,-0.69701,0.00030852
0.0304,0.49588,-0.69633,0.00032249
0.0305,0.49539,-0.69565,0.00033641
0.0306,0.4949,-0.69497,0.00035029
0.0307,0.4944,-0.69429,0.00036413
0.0308,0.49391,-0.69362,0.00037792
0.0309,0.49342,-0.69294,0.00039168
0.031,0.49293,-0.69227,0.00040539
0.0311,0.49244,-0.69159,0.00041906
0.0312,0.49195,-0.69092,0.0004327
0.0313,0.49146,-0.69025,0.00044629
0.0314,0.49097,-0.68957,0.00045984
0.0315,0.49049,-0.6889,0.00047335
0.0316,0.49,-0.68823,0.00048681
0.0317,0.48951,-0.68756,0.00050024
0.0318,0.48902,-0.68689,0.00051363
0.0319,0.48854,-0.68622,0.00052698
0.032,0.48805,-0.68555,0.00054028
0.0321,0.48757,-0.68488,0.00055355
0.0322,0.48708,-0.68422,0.00056678
0.0323,0.4866,-0.68355,0.00057996
0.0324,0.48612,-0.68288,0.00059311
0.0325,0.48563,-0.68222,0.00060622
0.0326,0.48515,-0.68155,0.00061928
0.0327,0.48467,-0.68089,0.00063231
0.0328,0.48419,-0.68023,0.0006453
0.0329,0.4837,-0.67956,0.00065825
0.033,0.48322,-0.6789,0.00067116
0.0331,0.48274,-0.67824,0.00068403
0.0332,0.48226,-0.67758,0.00069686
0.0333,0.48178,-0.67692,0.00070965
0.0334,0.48131,-0.67626,0.0007224
0.0335,0.48083,-0.6756,0.00073512
0.0336,0.48035,-0.67494,0.00074779
0.0337,0.47987,-0.67428,0.00076043
0.0338,0.4794,-0.67363,0.00077303
0.0339,0.47892,-0.67297,0.00078559
0.034,0.47844,-0.67231,0.00079811
0.0341,0.47797,-0.67166,0.00081059
0.0342,0.47749,-0.671,0.00082304
