time,I_bus_1,I_bus_2,I_bus_3
0.28171,0.081895,-0.066553,-0.0068197
0.28257,0.010338,-0.031393,-0.0020091
0.28371,0.064338,-0.057406,-0.0057436
0.28506,-0.17271,0.057608,0.011576
0.28592,0.091518,-0.067264,-0.0078927
0.28678,0.0077091,-0.030258,-0.0021953
0.28791,0.044809,-0.04679,-0.0054426
0.28925,0.075123,-0.080143,-0.0033947
0.28991,0.08653,-0.071135,-0.0081263
0.29057,0.02636,-0.038632,-0.0041288
0.29167,0.026615,-0.037108,-0.0032625
0.2931,-0.016913,-0.014567,-0.0007272
0.29399,0.051481,-0.049488,-0.0042619
0.29488,0.0095548,-0.027889,-0.001979
0.29595,0.056672,-0.051355,-0.0048108
0.29716,-0.10757,0.029807,0.0054098
0.298,0.064885,-0.054894,-0.0053577
0.29885,0.011243,-0.027753,-0.0018594
0.29996,0.050718,-0.047058,-0.0044177
0.30131,-0.16098,0.05676,0.0097005
0.30214,0.075473,-0.058344,-0.0061468
0.30298,0.0082118,-0.025568,-0.0016377
0.30414,0.056979,-0.049056,-0.0050277
0.30554,-0.21022,0.08026,0.01463
0.30637,0.085357,-0.059418,-0.0071718
0.3072,0.005419,-0.02458,-0.0019708
0.30836,0.045202,-0.042695,-0.0051243
0.30978,-0.012733,-0.032195,0.0032888
0.31043,0.09284,-0.069107,-0.0080886
0.31108,0.023694,-0.032997,-0.0037733
0.31212,0.018826,-0.029128,-0.0026945
0.31405,-0.051398,0.0070279,-0.0024116
0.31473,-0.037076,-0.00045865,0.0015673
0.3154,0.021321,-0.029658,-0.0023772
0.31655,0.013917,-0.025655,-0.0020451
0.31784,0.067741,-0.052675,-0.0051697
0.31878,-0.0188,-0.0090151,7.8978e-05
0.31972,0.048017,-0.042049,-0.0040194
0.32079,-0.030157,-0.0031474,0.00098427
0.32193,0.13479,-0.084308,-0.0098311
0.32296,-0.12054,0.041433,0.0073051
0.32388,0.090708,-0.061231,-0.0070368
0.32482,-0.023075,-0.0061983,0.00080382
