time,V_MG
0.0928,805.93
0.0929,805.93
0.093,805.92
0.0931,805.91
0.0932,805.91
0.0933,805.9
0.0934,805.9
0.0935,805.89
0.0936,805.88
0.0937,805.88
0.0938,805.87
0.0939,805.87
0.094,805.86
0.0941,805.86
0.0942,805.85
0.0943,805.84
0.0944,805.84
0.0945,805.83
0.0946,805.83
0.0947,805.82
0.0948,805.81
0.0949,805.81
0.095,805.8
0.0951,805.8
0.0952,805.79
0.0953,805.79
0.0954,805.78
0.0955,805.77
0.0956,805.77
0.0957,805.76
0.0958,805.76
0.0959,805.75
0.096,805.75
0.0961,805.74
0.0962,805.73
0.0963,805.73
0.0964,805.72
0.0965,805.72
0.0966,805.71
0.0967,805.71
0.0968,805.7
0.0969,805.69
0.097,805.69
0.0971,805.68
0.0972,805.68
0.0973,805.67
0.0974,805.67
0.0975,805.66
0.0976,805.66
0.0977,805.65
0.0978,805.64
0.0979,805.64
0.098,805.63
0.0981,805.63
0.0982,805.62
0.0983,805.62
0.0984,805.61
0.0985,805.61
0.0986,805.6
0.0987,805.59
0.0988,805.59
0.0989,805.58
0.099,805.58
0.0991,805.57
0.0992,805.57
0.0993,805.56
0.0994,805.56
0.0995,805.55
0.0996,805.54
0.0997,805.54
0.0998,805.53
0.0999,805.53
0.1,805.52
0.1001,805.52
0.1002,805.51
0.1003,805.51
0.1004,805.5
0.1005,805.5
0.1006,805.49
0.1007,805.48
0.1008,805.48
0.1009,805.47
0.101,805.47
0.1011,805.46
0.1012,805.46
0.1013,805.45
0.1014,805.45
0.1015,805.44
0.1016,805.44
0.1017,805.43
0.1018,805.42
0.1019,805.42
0.102,805.41
0.1021,805.41
0.1022,805.4
0.1023,805.4
0.1024,805.39
0.1025,805.39
0.1026,805.38
0.1027,805.38
0.1028,805.37
0.1029,805.37
0.103,805.36
0.1031,805.36
0.1032,805.35
0.1033,805.34
0.1034,805.34
0.1035,805.33
0.1036,805.33
0.1037,805.32
0.1038,805.32
0.1039,805.31
0.104,805.31
0.1041,805.3
0.1042,805.3
0.1043,805.29
0.1044,805.29
0.1045,805.28
0.1046,805.28
0.1047,805.27
0.1048,805.27
0.1049,805.26
0.105,805.26
0.1051,805.25
0.1052,805.25
0.1053,805.24
0.1054,805.23
0.1055,805.23
0.1056,805.22
0.1057,805.22
0.1058,805.21
0.1059,805.21
0.106,805.2
0.1061,805.2
0.1062,805.19
0.1063,805.19
0.1064,805.18
0.1065,805.18
0.1066,805.17
0.1067,805.17
0.1068,805.16
0.1069,805.16
0.107,805.15
0.1071,805.15
0.1072,805.14
0.1073,805.14
0.1074,805.13
0.1075,805.13
0.1076,805.12
0.1077,805.12
0.1078,805.11
0.1079,805.11
0.108,805.1
0.1081,805.1
0.1082,805.09
0.1083,805.09
0.1084,805.08
0.1085,805.08
0.1086,805.07
0.1087,805.07
0.1088,805.06
0.1089,805.06
0.109,805.05
0.1091,805.05
0.1092,805.04
0.1093,805.04
0.1094,805.03
0.1095,805.03
0.1096,805.02
0.1097,805.02
0.1098,805.01
0.1099,805.01
0.11,805
0.1101,805
0.1102,804.99
0.1103,804.99
0.1104,804.98
0.1105,804.98
0.1106,804.97
0.1107,804.97
0.1108,804.96
0.1109,804.96
0.111,804.95
0.1111,804.95
0.1112,804.94
0.1113,804.94
0.1114,804.93
0.1115,804.93
0.1116,804.92
0.1117,804.92
0.1118,804.91
0.1119,804.91
0.112,804.9
0.1121,804.9
0.1122,804.89
0.1123,804.89
0.1124,804.88
0.1125,804.88
0.1126,804.87
0.1127,804.87
0.1128,804.86
0.1129,804.86
0.113,804.86
0.1131,804.85
0.1132,804.85
0.1133,804.84
0.1134,804.84
0.1135,804.83
0.1136,804.83
0.1137,804.82
0.1138,804.82
0.1139,804.81
0.114,804.81
0.1141,804.8
0.1142,804.8
0.1143,804.79
0.1144,804.79
0.1145,804.78
0.1146,804.78
0.1147,804.77
0.1148,804.77
0.1149,804.76
0.115,804.76
0.1151,804.76
0.1152,804.75
0.1153,804.75
0.1154,804.74
0.1155,804.74
0.1156,804.73
0.1157,804.73
0.1158,804.72
0.1159,804.72
0.116,804.71
0.1161,804.71
0.1162,804.7
0.1163,804.7
0.1164,804.69
0.1165,804.69
0.1166,804.69
0.1167,804.68
0.1168,804.68
0.1169,804.67
0.117,804.67
0.1171,804.66
0.1172,804.66
0.1173,804.65
0.1174,804.65
0.1175,804.64
0.1176,804.64
0.1177,804.63
0.1178,804.63
0.1179,804.63
0.118,804.62
0.1181,804.62
0.1182,804.61
0.1183,804.61
0.1184,804.6
0.1185,804.6
0.1186,804.59
0.1187,804.59
0.1188,804.58
0.1189,804.58
0.119,804.57
0.1191,804.57
0.1192,804.57
0.1193,804.56
0.1194,804.56
0.1195,804.55
0.1196,804.55
0.1197,804.54
0.1198,804.54
0.1199,804.53
0.12,804.53
0.1201,804.53
0.1202,804.52
0.1203,804.52
0.1204,804.51
0.1205,804.51
0.1206,804.5
0.1207,804.5
